Date,AMD,COST,DELL,INTC,NVDA,RIVN,SPY
2024-10-01,-0.12195267115756903,-0.013919564007429552,0.042938983519363205,-0.08269389183365317,0.09330834566280366,-0.09982173430515184,-0.005883619914829885
2024-11-01,-0.04782407370141961,0.11176191421906045,0.03569867342904676,0.11756499653716967,0.041352812445420106,0.21089099805129408,0.05963336231606009
2024-12-01,-0.11947800433982314,-0.055966194890311516,-0.09679431089323354,-0.16632017159635015,-0.028643794398460987,0.08748983553133316,-0.027333748729297724
2025-01-01,-0.040069574721420365,0.06942279262456941,-0.10100665391124841,-0.030922641170916143,-0.10582868164369208,-0.055639079737282104,0.0303124553442895
2025-02-01,-0.13876668185746377,0.07014113546063139,-0.004135319942816684,0.22130721407735177,0.040393042244604604,-0.05732486010942195,-0.012694935709927635
2025-03-01,0.02884034884653741,-0.0970666061772224,-0.1129817464375813,-0.04298358522713841,-0.1324047005923088,0.051520240609449486,-0.05855127922553982
2025-04-01,-0.05246252191668754,0.05151314238882665,0.006692388553976691,-0.11492729230391929,0.005074878898776447,0.09718875957303275,-0.005687959126836062
2025-05-01,0.13744227110973561,0.0459325463406024,0.2203963967331377,-0.02736324049606631,0.24063549928333217,0.06368959701883914,0.06284486771162645
2025-06-01,0.28149543569574,-0.04705935529156524,0.10182434918134509,0.1457800763524859,0.1691704144008772,-0.05437026678399548,0.04828711731137414
2025-07-01,0.24249475082579197,-0.05081115675113701,0.08230012885415827,-0.11607144757801202,0.12590882138538273,-0.06331877001831143,0.02605592955723468
2025-08-01,-0.07759056698548772,0.003916418472017957,-0.07567021740592272,0.22979804645106938,-0.020745518363826654,0.05439004005358061,0.020519537835420598
2025-09-01,-0.00516516984233617,-0.017393504168596752,0.16062219945987133,0.37782335570688486,0.07119078208205742,0.08179813082640908,0.03275713817185344
2025-10-01,0.5830397783886911,-0.015319249588270023,0.1427663695128667,0.19195238711935314,0.08533295707598976,-0.07561311902426904,0.026675866919476432
2025-11-01,-0.15067154878022626,0.0037659936709570907,-0.17396986920084967,0.014253555161292786,-0.1258828143464189,0.24244664624290269,0.0019500340229998692
2025-12-01,-0.015492093670292584,-0.05609734037777914,-0.05601805098267065,-0.09023667957324677,0.05367243523743137,0.16903904928516278,-0.002151030393678588
2026-01-01,0.10538845573162892,0.09034711890478575,-0.09088013087780322,0.2593495745010346,0.024882737862960802,-0.25164887442232786,0.017736187477164433
2026-02-01,-0.15426853239039473,0.07649122505516792,0.2996139229015835,-0.018506576022391363,-0.07293461878268304,0.039322028725834235,-0.008641951723092456
2026-03-01,0.016083042075494047,-0.014206749218772075,0.10838743700538189,-0.03244901386606058,-0.015745934099549275,-0.018264822854839324,-0.05196861816263498
2026-04-01,0.7425650248110034,0.018164927743801407,0.27307610709258245,1.140947225700323,0.1443854544010037,0.08970095752068508,0.10807055160424506
2026-05-01,0.2942255668251388,-0.01484440030519385,0.18595060603931857,0.3700253793641197,0.09956403461421415,-0.1414633993163551,0.028720139453608517
